"PC1","PC2"
-4.98137799030356,1.82463028276427
-5.43659252688337,2.93225707349352
-4.75791350964569,1.82681673423273
-4.30038305781841,2.00358751055866
-6.34910709177396,4.0880547537799
-4.94629717156927,2.33964865927898
-4.51881930178623,2.1798130987413
-5.01453423954238,2.45373346659089
-4.93481768151482,2.423467017194
-4.78965238006448,2.18330909507096
-4.95908817047233,2.52517772247523
-5.35580359460313,3.16472569238372
-4.88272600020576,2.46656315178806
-4.74032863102264,2.39708780315514
-5.25112018121573,2.97475590353688
-5.16741167104384,2.80146330142531
-4.78412234892314,2.41839441785256
-4.92050365409549,2.48767568567405
-5.2707727253151,2.96920263597358
-4.9782685705248,2.50820788940916
-4.67785019372947,2.11198331445729
-5.24786682348558,2.97374721952952
-4.05579439920042,1.8800013994393
-3.5562638007411,0.805760247661522
-2.94080256961311,-0.00786478047660573
-5.5482047902379,3.53605932457126
-4.79732173894585,2.61040342097963
-4.73161783823057,2.31462623859806
-4.37338692132005,2.0055820993494
-4.44091954614747,1.86240183856537
-5.1063322145775,3.01877172882815
-4.06051350950226,1.6677193613351
-4.01141827191799,1.56368283808505
-5.12612991989803,2.89594094407254
-5.43035423377315,3.29376328633483
-5.52727959173826,3.43687891827301
-5.24720609022856,3.37068618608754
-5.19532403143261,3.18032345120502
-3.65607358032909,1.0339088543346
-4.36569834169417,1.86433309671508
-4.94789201046177,2.83379011559809
-5.21305498334873,3.05400418615741
-2.96534059211394,0.289053962021237
-3.95576512439646,1.59191906976039
-4.48170479275924,2.04635912267397
-4.74145513455931,2.5575644930157
-4.41761897182749,2.11357423870134
-4.35088617231307,1.96955589020629
-4.27293714018328,2.07744030679942
-4.75122216065671,2.40807295738194
-4.5358642260403,2.31609297894269
-4.50645995646717,2.18305610034561
-4.94440522637155,2.83012722163554
-5.02147151779076,2.94301672588541
-4.57188131145222,2.35155105679996
-4.51009981883183,2.32853516568382
-4.13373522871539,1.9592907127003
-5.03670345452055,2.84998378833024
-4.72268946462117,2.54729746113291
-4.30093817988928,1.91070557760922
-4.69445506677064,2.51475082453786
-4.6900267728534,2.42550392174656
-4.68833527335803,2.58255253249711
-4.02051421619431,1.76322388495251
-4.13721942860181,1.79053090628511
-4.51375859820005,2.17284741675236
-4.68901491469335,2.88664671101697
-3.46871491024434,0.905120073433775
-4.41366661133299,2.09778324217823
-4.48301410879289,2.26329378048899
-5.25211137838209,3.44436026559786
-5.32802640837117,3.49388448078381
-4.47308815255407,2.39067008222486
-4.93516093653814,2.83002888278272
-4.44997464773018,2.18388149690926
-4.56585048299637,2.48996495352948
-4.85383689096139,2.69798184116719
-4.62830218218321,2.61095767891188
-4.75396209945084,2.95853228411533
-3.65766886015421,1.23746590881553
-4.84090174060781,2.80541089229654
-4.183252218755,1.95084794056364
-4.63213646446267,2.7541278468604
-4.36962176352278,2.15840240610336
-4.43693449333564,2.46820346489946
-5.8071302007161,4.28922452960425
-3.58562160396297,1.54487519901441
-4.01030789337327,1.94776501457086
-4.23310189148612,2.14750083448776
-4.32120239856507,2.23481417185134
-4.65291291433423,2.54756972334889
-4.48278016326739,2.29538149368181
-4.8533665949309,2.98120289321669
-4.56153621526101,2.50443171504623
-4.51298818449084,2.5363258728224
-3.68898563663685,1.20366859701529
-4.91816594671263,2.84325949171926
-4.99379282321831,3.20223882526906
-4.25502804410385,1.94554518935207
-4.90325822888826,2.77471270509375
-4.82393744315076,2.80140470898573
-3.33516998603313,0.973058206074406
-4.80583530526385,2.82451684591254
-3.80074774035503,1.45080756177193
-5.88605771551321,4.38449393585379
-4.05589959674499,1.77575755304564
-5.15952887280585,3.31138243167618
-2.87966440396498,0.655751653901967
-3.94043157429187,1.80599028460481
-4.28625476565284,2.35757933448811
-4.38517380971844,2.50437725881193
-4.69388518422004,2.66858504312512
-4.46390424697023,2.68861245990554
-3.94475971157293,1.61912359156787
-4.39471115627601,2.3020909708906
-4.68271910666955,2.73801508538714
-4.72200672172508,2.7797930899056
-5.12877499617704,3.22308387326833
-4.64705683201626,2.60905517279374
-4.12222239669873,1.92513961425307
-4.2229207791159,2.06543974686588
-4.90167174068023,3.12643085476119
-4.56147004986646,2.53180780820691
-4.65447701910614,2.61553152356221
-4.2958567629169,2.25859607656668
-5.18523140475446,3.38473125989738
-4.65755484065383,2.68271034413011
-4.40070999820656,2.26805496427131
-5.26595319912556,3.47817910741304
